Місяць,Хліб,Крупи,Мʼясо свійських тварин та птиці,Макарони,Картопля,Ковбасні вироби,"Молоко пастеризоване жирністю до 2,6% включно",Молочні продукти,Овочі,Олія соняшникова,Риба,Сир,Цукор,Яблука,Яйця,basket_price,salary,unemployed,надходження,CPI,Year,covid,war,time,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,detrended,deseasonalized,deseasonalized_diff
2017-01-01,12.07,16.22,70.34,13.76,5.58,55.8,17.93,35.96,4.38,32.97,65.43,75.77,17.09,12.15,22.02,962.6,66.64376849261134,-12.249412736000238,-2776.610117672586,100.0,2017,0,0,0,False,False,False,False,False,False,False,False,False,False,False,,,
2017-02-01,12.48,16.39,72.36,13.89,6.11,56.44,18.58,37.18,4.53,33.3,65.93,77.69,17.61,12.43,18.33,983.47,80.08328542635354,-11.5077467601281,12191.48526103636,102.16808643257845,2017,0,0,1,True,False,False,False,False,False,False,False,False,False,False,20.870000000000005,,
2017-03-01,12.74,16.49,73.33,14.02,6.25,56.88,19.04,37.99,4.46,33.44,66.21,79.2,18.27,12.67,16.97,996.71,24.968031250187778,-11.218524977421794,-5677.114059224434,103.54352794514855,2017,0,0,2,False,True,False,False,False,False,False,False,False,False,False,13.240000000000009,,
2017-04-01,12.85,16.41,75.25,14.12,6.71,57.7,19.26,38.18,5.63,33.74,66.61,79.34,18.48,13.63,13.9,1012.02,-34.32622480498321,8.797197897693763,-4069.736441523404,105.13401205069603,2017,0,0,3,False,False,True,False,False,False,False,False,False,False,False,15.309999999999945,,
2017-05-01,12.95,16.14,77.62,14.2,8.36,58.02,19.35,38.34,9.12,33.74,67.21,78.85,18.54,17.46,12.06,1050.12,-82.61574760212261,12.157513977325323,-2226.534307434704,109.09204238520671,2017,0,0,4,False,False,False,True,False,False,False,False,False,False,False,38.09999999999991,,
2017-06-01,13.07,16.01,81.34,14.14,11.12,59.7,19.29,38.25,12.62,33.75,66.32,78.86,18.58,22.91,14.09,1110.99,-64.47990132679661,15.084263174503292,1283.2032774334439,115.41554124246831,2017,0,0,5,False,False,False,False,True,False,False,False,False,False,False,60.87000000000012,,
2017-07-01,13.17,15.87,86.22,14.17,8.99,62.38,19.4,38.52,11.83,33.64,66.05,78.77,18.45,23.44,12.85,1110.98,-8.783317129513307,8.354433666991554,-3435.0375744004414,115.41450238936216,2017,0,0,6,False,False,False,False,False,True,False,False,False,False,False,-0.009999999999990905,,
2017-08-01,13.35,15.92,89.14,14.14,7.44,64.07,19.61,38.96,7.79,33.67,65.34,80.1,18.5,18.8,15.12,1097.29,-92.48364714790932,11.184456341031307,4909.195400689314,113.99231248701433,2017,0,0,7,False,False,False,False,False,False,True,False,False,False,False,-13.690000000000055,,
2017-09-01,13.54,16.02,92.36,14.26,6.76,67.81,19.95,39.66,6.76,33.69,64.73,81.63,18.43,16.42,19.78,1113.69,18.416045512913115,14.383875842300085,605.6599751840404,115.69603158113443,2017,0,0,8,False,False,False,False,False,False,False,True,False,False,False,16.40000000000009,,
2017-10-01,13.82,16.07,92.73,14.3,6.19,72.02,20.7,40.89,5.97,33.64,65.15,84.45,17.43,16.0,22.72,1128.73,-40.955921232779474,-18.274603888138813,-175.37646725429659,117.2584666528153,2017,0,0,9,False,False,False,False,False,False,False,False,True,False,False,15.039999999999964,,
