Місяць,Картопля,Ковбасні вироби,Крупи,Мʼясо свійських тварин та птиці,Макарони,"Молоко пастеризоване жирністю до 2,6% включно",Молочні продукти,Овочі,Олія соняшникова,Риба,Сир,Хліб,Цукор,Яблука,Яйця,basket_price
2019-M01,9.33,85.19,18.17,102.34,17.61,23.87,48.66,13.71,35.12,74.4,98.81,17.84,14.02,9.47,24.77,1311.51
2019-M02,10.09,85.52,18.61,100.94,17.82,24.13,48.99,14.5,35.07,75.58,99.67,18.05,14.13,9.43,23.9,1321.89
2019-M03,10.16,85.35,19.01,100.54,18.0,24.18,49.23,14.94,34.98,76.67,100.15,18.22,14.16,9.48,22.7,1325.04
2019-M04,10.73,85.55,19.86,102.16,18.19,24.32,49.68,19.13,34.95,77.26,100.86,18.39,14.08,9.49,20.2,1351.45
2019-M05,14.07,84.4,20.21,103.9,18.25,24.25,49.72,22.81,34.93,77.77,99.96,18.68,14.25,11.12,17.0,1394.55
2019-M06,17.26,84.34,20.4,103.96,18.27,24.15,49.56,17.19,34.99,78.24,99.4,19.14,15.17,14.91,12.47,1404.77
2019-M07,15.3,84.6,20.33,104.99,18.31,24.23,49.62,12.21,34.9,78.72,99.71,19.29,15.6,16.92,14.35,1387.37
2019-M08,15.02,85.1,20.23,105.93,18.24,24.43,49.58,9.2,34.96,79.01,99.61,19.27,15.3,17.32,19.89,1390.99
2019-M09,14.63,85.46,20.41,106.33,18.29,24.73,50.58,8.09,34.97,79.47,101.5,19.24,15.21,16.97,18.7,1389.32
2019-M10,15.29,85.69,20.81,106.12,18.29,25.14,51.17,7.78,34.84,79.32,103.17,19.28,14.85,16.5,20.45,1402.15
2019-M11,14.14,86.4,20.62,104.11,18.14,25.22,51.6,7.32,34.72,78.83,104.7,19.46,14.49,16.26,20.93,1388.14
2019-M12,13.52,87.56,20.15,103.28,18.31,25.31,52.31,6.98,34.44,78.32,105.7,19.52,14.3,16.34,21.07,1381.21
2020-M01,13.13,87.38,19.65,102.87,18.09,24.91,51.94,6.88,34.35,77.99,106.86,19.58,14.02,16.62,20.66,1371.16
2020-M02,12.8,88.14,19.53,100.59,18.15,24.99,51.93,6.88,34.31,78.2,107.26,19.63,14.14,16.79,17.07,1356.87
2020-M03,12.89,87.93,20.0,100.24,18.45,25.0,52.29,7.42,34.29,78.38,107.38,19.7,14.55,17.3,14.98,1358.42
2020-M04,14.75,87.5,21.2,100.84,18.84,25.01,52.54,9.69,34.4,79.1,107.41,19.79,15.25,19.25,16.34,1394.86
2020-M05,15.27,87.34,21.54,98.04,18.99,25.09,52.34,9.53,34.14,79.96,107.62,19.84,15.14,25.68,19.06,1408.58
2020-M06,16.06,87.34,21.48,98.75,19.18,24.95,52.56,10.16,34.31,80.19,106.72,19.97,14.94,34.71,19.1,1435.38
2020-M07,12.67,86.64,21.33,99.16,19.26,24.91,52.61,8.78,34.31,80.21,106.3,20.03,14.79,38.06,16.22,1405.45
2020-M08,10.02,86.38,21.18,100.42,19.11,24.83,52.63,7.23,34.62,80.1,106.31,20.02,14.71,28.96,16.79,1366.01
2020-M09,9.08,87.42,21.02,100.9,19.08,25.0,52.83,6.34,35.1,80.73,106.45,20.22,14.94,22.31,17.99,1352.21
2020-M10,8.96,88.92,20.92,101.71,19.18,25.19,53.12,5.86,37.53,80.31,108.25,20.51,18.3,19.46,22.19,1368.93
2020-M11,9.23,90.82,21.2,101.89,19.6,25.39,53.76,5.36,40.11,80.97,110.26,20.98,19.7,18.17,23.71,1386.23
2020-M12,10.15,91.43,21.55,102.09,20.17,25.6,54.14,5.32,42.07,80.97,111.46,21.24,20.9,18.21,27.48,1411.85
2021-M01,11.14,93.22,21.87,104.01,20.79,25.41,54.3,5.82,44.04,81.96,113.92,21.89,21.89,19.08,32.31,1451.25
2021-M02,11.87,94.4,22.46,106.71,21.22,25.83,55.32,6.74,47.55,83.05,114.18,22.45,23.13,19.76,32.26,1489.0
2021-M03,12.17,94.99,23.34,110.2,22.88,25.96,55.97,7.17,52.58,83.07,115.73,23.16,24.38,20.39,32.02,1524.62
2021-M04,11.92,95.5,23.77,111.82,23.25,25.99,56.53,7.11,58.05,82.36,116.95,23.4,25.63,20.66,31.8,1539.7
2021-M05,11.96,96.96,23.87,113.78,23.11,26.44,57.24,9.93,62.57,83.34,116.52,23.62,25.75,20.94,26.24,1559.25
2021-M06,13.3,96.78,23.8,114.22,23.15,26.42,57.48,12.91,64.95,84.27,116.61,23.66,25.92,21.14,22.09,1576.97
2021-M07,11.79,98.1,23.83,115.54,23.19,26.5,58.19,12.9,64.73,84.06,117.04,23.77,27.63,21.42,22.13,1576.45
2021-M08,8.66,97.94,23.73,117.11,23.19,26.62,58.89,9.2,64.33,84.87,117.22,23.9,28.7,20.13,26.29,1554.74
