Показник,Базисний період,Територіальний розріз,Тип товарів і послуг,Періодичність,2019,2019-M01,2019-M02,2019-M03,2019-M04,2019-M05,2019-M06,2019-M07,2019-M08,2019-M09,2019-M10,2019-M11,2019-M12,2020,2020-M01,2020-M02,2020-M03,2020-M04,2020-M05,2020-M06,2020-M07,2020-M08,2020-M09,2020-M10,2020-M11,2020-M12,2021,2021-M01,2021-M02,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01
Середні споживчі ціни на товари (послуги),Не застосовується,Україна,Крупи,Місячна,,23.71,23.49,23.38,23.06,22.84,22.68,22.84,22.87,23.1,23.11,23.22,22.83,22.58,22.32,22.37,22.83,23.4,23.77,23.57,23.43,23.69,23.8,23.46,23.7,23.93,24.24,24.55,24.9,25.99,26.61,27.01,27.23,27.27,27.4,27.65,27.88,28.2,28.74,29.02,29.3,30.19,33.12,40.11,46.63,50.41,52.95,56.07,58.46,59.56,59.78,59.65,59.81,59.97,59.13,57.66,56.73,55.86,53.98,53.28,53.5,52.52,52.05,51.6,51.36,51.32,51.28,51.65,51.48,51.53,51.98,52.32,53.14,53.82,54.37,55.23,55.65,56.11,56.2
Середні споживчі ціни на товари (послуги),Не застосовується,Україна,Хліб,Місячна,,22.2,22.47,22.63,22.85,23.08,24.05,24.21,23.9,23.54,23.61,23.77,23.91,24.02,24.14,24.25,24.38,24.41,24.39,24.81,24.94,24.98,25.36,25.94,26.52,26.73,27.22,27.7,28.26,29.33,29.51,29.68,29.65,29.9,30.3,30.84,31.57,32.41,33.08,33.34,33.61,34.96,36.2,37.32,37.86,38.06,38.52,38.95,39.1,39.48,40.0,40.94,41.03,41.12,41.6,41.56,41.81,42.05,41.9,41.93,42.35,42.44,42.7,43.02,43.43,43.75,44.07,44.44,44.89,45.31,45.76,46.36,47.54,48.5,48.94,49.9,50.98,51.91,53.7
Середні споживчі ціни на товари (послуги),Не застосовується,Україна,Хліб,Місячна,,17.78,18.01,18.22,18.41,18.68,18.99,19.08,19.15,19.24,19.31,19.55,19.58,19.66,19.74,19.78,19.81,19.86,19.98,20.09,20.12,20.16,20.37,20.62,20.99,21.4,21.69,21.98,22.52,23.19,23.5,23.76,23.8,23.86,23.91,24.48,25.18,25.78,26.29,26.7,27.11,28.29,29.5,29.77,30.64,31.65,32.1,32.0,32.2,32.76,32.63,33.23,33.72,34.2,34.64,34.67,34.81,34.72,34.65,34.88,35.11,35.16,35.47,35.77,36.02,35.87,35.72,35.94,36.38,36.64,36.76,37.09,38.35,39.59,40.03,40.81,41.29,42.52,43.42
Середні споживчі ціни на товари (послуги),Не застосовується,Україна,Хліб,Місячна,,18.61,18.81,19.02,19.2,19.69,20.04,20.29,20.39,20.54,20.6,20.69,20.74,20.7,20.67,20.65,20.77,20.97,21.06,21.03,21.04,20.96,21.07,21.32,21.83,22.07,22.54,23.0,23.59,24.27,24.48,24.77,24.87,24.9,24.95,25.33,26.05,26.69,27.46,28.6,29.73,30.93,32.28,31.5,31.84,33.01,33.44,33.58,33.65,34.46,34.53,35.11,35.08,35.06,35.21,35.37,35.56,35.85,35.95,36.02,35.83,36.18,36.48,36.72,36.8,37.1,37.41,37.36,37.54,37.67,37.95,38.37,39.95,40.93,41.76,42.67,43.81,45.12,45.45
Середні споживчі ціни на товари (послуги),Не застосовується,Україна,Хліб,Місячна,,12.77,12.92,13.02,13.09,13.28,13.49,13.57,13.64,13.63,13.62,13.82,13.86,13.8,13.75,13.83,13.85,13.93,13.95,13.96,14.03,13.97,14.08,14.17,14.56,14.75,14.82,14.89,15.42,15.86,16.11,16.27,16.33,16.41,16.43,16.68,17.1,17.55,17.88,17.99,18.1,18.63,18.93,19.67,19.74,20.27,20.64,20.74,20.86,21.06,21.25,21.48,21.66,21.83,21.95,22.14,22.3,22.25,22.33,22.38,22.53,22.66,22.8,22.96,22.96,23.0,23.04,23.13,23.28,23.43,23.63,23.98,24.6,25.39,26.0,26.26,26.94,27.78,28.46
Середні споживчі ціни на товари (послуги),Не застосовується,Україна,Макарони,Місячна,,17.61,17.82,18.0,18.19,18.25,18.27,18.31,18.24,18.29,18.29,18.14,18.31,18.2,18.09,18.15,18.45,18.84,18.99,19.18,19.26,19.11,19.08,19.18,19.6,20.17,20.48,20.79,21.22,22.88,23.25,23.11,23.15,23.19,23.19,23.15,23.3,23.89,24.36,24.66,24.95,25.16,26.85,30.13,31.05,32.34,32.55,32.35,32.5,32.36,31.79,31.86,31.81,31.76,31.82,31.98,31.96,31.53,31.12,30.76,30.89,30.41,30.26,29.8,29.79,29.84,29.89,29.95,29.96,29.94,29.84,29.8,30.16,31.35,32.6,32.88,33.33,33.77,33.95
Середні споживчі ціни на товари (послуги),Не застосовується,Україна,Крупи,Місячна,,13.77,13.92,14.0,14.36,14.44,14.25,14.12,14.0,14.05,13.87,13.76,13.64,13.42,13.21,13.15,13.48,13.69,13.99,14.44,14.46,14.34,14.41,14.63,15.21,15.91,16.08,16.26,16.83,17.44,17.65,17.29,16.87,17.01,16.91,17.06,17.29,17.69,18.18,18.52,18.85,19.1,20.07,22.69,23.67,24.34,24.05,24.24,23.65,23.47,22.8,22.43,22.05,21.67,21.39,21.36,21.78,21.63,21.58,21.34,21.69,21.73,21.83,21.53,21.29,21.28,21.27,21.53,21.88,21.86,21.91,22.27,22.51,22.66,23.24,23.98,25.15,26.31,27.27
Середні споживчі ціни на товари (послуги),Не застосовується,Україна,Крупи,Місячна,,16.34,16.76,16.78,16.7,16.51,16.58,16.47,17.0,20.79,26.53,27.24,27.77,28.06,28.36,28.5,30.02,35.42,36.74,36.96,37.18,36.92,36.86,36.99,37.28,37.43,37.5,37.56,38.3,40.01,41.02,41.44,42.01,42.07,42.2,42.54,43.44,46.33,47.77,47.69,47.61,48.66,54.22,61.72,69.25,81.23,93.23,96.01,89.81,82.69,79.16,74.69,71.78,68.87,65.73,62.41,59.79,55.9,51.86,48.26,45.61,41.43,36.52,32.98,30.46,29.66,28.87,27.97,27.36,26.36,26.83,28.26,29.67,29.6,29.79,30.98,33.4,35.19,35.4
Середні споживчі ціни на товари (послуги),Не застосовується,Україна,Крупи,Місячна,,11.98,12.39,12.63,12.65,12.57,12.39,12.13,12.08,11.91,11.67,11.59,11.45,11.4,11.35,11.36,11.45,11.53,11.58,11.45,11.38,11.32,11.41,11.65,12.32,12.98,13.24,13.49,14.27,14.75,15.13,15.41,15.22,15.27,15.01,14.96,15.06,15.44,15.8,16.1,16.41,16.96,18.3,21.05,21.61,21.7,21.09,19.81,19.47,18.62,17.95,17.7,17.58,17.47,17.23,17.15,17.12,16.66,16.86,16.94,16.92,16.96,16.99,16.31,15.92,15.72,15.51,15.49,15.4,15.31,15.31,15.61,16.28,17.02,17.78,18.76,19.01,19.9,20.61
Середні споживчі ціни на товари (послуги),Не застосовується,Україна,Крупи,Місячна,,25.06,26.48,28.27,32.54,34.68,36.1,36.09,35.22,32.18,28.88,27.29,25.08,24.04,23.0,22.25,22.21,21.94,21.62,20.97,20.2,19.61,18.64,17.89,17.5,17.51,17.51,17.51,17.99,18.51,18.42,18.2,17.69,17.55,17.11,17.25,17.48,18.14,18.42,18.58,18.74,19.45,21.48,26.1,28.1,29.14,28.93,27.85,27.27,26.76,26.37,25.98,26.03,26.08,27.23,28.59,29.53,30.05,30.46,30.4,30.71,30.77,29.71,28.06,26.59,26.0,25.41,25.07,24.68,24.37,24.14,24.3,24.62,24.26,24.25,24.67,25.35,25.41,25.55
Середні споживчі ціни на товари (послуги),Не застосовується,Україна,Мʼясо свійських тварин та птиці,Місячна,,129.06,128.36,127.56,128.5,128.71,128.5,129.37,130.24,131.12,132.2,132.05,132.81,133.83,134.85,136.69,138.07,141.06,141.73,142.65,142.44,142.59,143.27,143.29,144.16,144.82,147.16,149.51,153.99,157.24,159.13,160.3,160.94,162.45,165.0,172.04,175.51,179.37,182.84,189.23,195.61,208.02,221.45,216.39,211.23,205.59,200.63,200.2,200.92,203.45,200.65,203.18,204.06,204.95,203.61,206.36,210.95,214.6,219.04,223.52,227.99,230.59,233.76,238.05,243.64,247.64,251.64,260.15,263.97,266.1,268.23,269.24,270.01,270.56,273.8,279.76,284.53,288.73,293.27
Середні споживчі ціни на товари (послуги),Не застосовується,Україна,Мʼясо свійських тварин та птиці,Місячна,,116.31,112.91,111.63,116.17,119.26,118.95,119.63,121.63,122.78,122.31,119.32,119.24,118.61,117.98,115.75,116.7,121.9,120.07,118.76,118.1,119.51,119.37,119.13,117.46,115.86,115.51,115.16,115.33,117.7,118.33,120.63,120.11,120.67,122.11,124.45,124.58,123.84,123.75,123.85,123.95,123.5,130.6,130.85,132.26,140.24,144.35,152.84,164.29,174.45,166.87,168.56,168.18,167.79,166.2,167.65,181.84,188.17,195.2,197.64,201.28,203.64,202.39,196.09,193.6,189.16,184.72,179.81,177.13,177.48,179.35,175.91,177.47,182.0,182.74,183.61,183.31,184.76,188.05
Середні споживчі ціни на товари (послуги),Не застосовується,Україна,Мʼясо свійських тварин та птиці,Місячна,,58.66,58.15,58.32,58.4,59.37,60.22,61.78,62.22,62.27,62.07,60.74,59.37,58.8,58.23,55.09,54.12,52.22,49.59,50.5,51.25,52.18,52.93,54.38,55.17,55.96,56.68,57.4,60.13,63.06,65.35,67.25,68.19,69.34,69.94,71.4,72.42,71.02,70.82,72.17,73.52,74.12,76.19,76.04,74.81,79.54,80.83,82.43,82.43,82.96,80.49,81.29,81.87,82.45,84.63,86.71,87.67,87.56,88.69,90.37,91.43,91.5,91.67,91.27,90.25,90.08,89.92,88.31,87.89,88.03,89.28,87.35,86.76,86.79,90.95,92.22,92.38,92.55,91.45
Середні споживчі ціни на товари (послуги),Не застосовується,Україна,Мʼясо свійських тварин та птиці,Місячна,,105.33,104.36,104.65,105.56,108.25,108.18,109.19,109.62,109.16,107.89,104.33,101.72,101.07,100.42,94.83,92.06,88.18,80.76,83.1,84.84,87.39,88.05,90.03,90.76,91.71,92.85,93.99,97.37,102.8,104.46,106.92,107.62,109.7,111.39,115.1,117.47,117.41,117.1,119.88,122.65,123.63,127.65,127.28,128.34,131.97,133.6,136.38,137.66,138.81,135.72,136.58,138.12,139.65,142.22,145.56,147.59,149.69,150.78,153.56,155.87,159.19,159.95,159.61,160.74,160.27,159.8,158.03,159.66,158.9,159.83,158.04,158.62,162.86,168.26,170.31,170.97,172.42,172.09
Середні споживчі ціни на товари (послуги),Не застосовується,Україна,Ковбасні вироби,Місячна,,93.6,94.15,94.13,95.39,95.07,96.6,96.92,97.43,97.87,97.68,98.02,99.29,98.52,97.76,99.94,99.29,99.56,100.44,100.88,99.71,99.49,100.94,102.54,103.89,103.91,104.32,104.73,106.31,106.31,107.21,110.16,110.63,113.56,113.06,112.96,115.56,116.41,120.15,122.28,124.41,125.5,130.85,133.28,131.14,136.9,137.94,142.64,146.51,151.61,154.08,156.69,157.26,157.84,159.81,159.3,159.86,162.48,163.77,164.64,166.47,168.59,168.06,169.66,171.55,170.48,169.42,169.98,167.19,169.26,171.47,171.88,170.85,173.94,172.6,178.24,175.75,180.64,178.56
