,Територіальний розріз,Тип товарів і послуг,2019,2019-M01,2019-M02,2019-M03,2019-M04,2019-M05,2019-M06,2019-M07,2019-M08,2019-M09,2019-M10,2019-M11,2019-M12,2020,2020-M01,2020-M02,2020-M03,2020-M04,2020-M05,2020-M06,2020-M07,2020-M08,2020-M09,2020-M10,2020-M11,2020-M12,2021,2021-M01,2021-M02,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01
0,Івано-Франківська,Картопля,,7.67,8.62,8.79,9.43,13.17,15.51,14.97,14.75,13.95,13.9,13.2,12.36,12.11,11.87,12.04,12.78,13.61,14.83,15.97,11.77,9.39,8.43,8.04,8.39,9.13,9.48,9.84,10.58,10.5,10.34,9.99,11.09,10.73,7.98,7.08,6.81,6.98,7.09,7.3,7.5,7.77,8.05,8.05,7.96,9.97,15.91,11.87,9.64,8.91,8.31,8.36,8.4,8.43,8.45,8.26,7.78,8.17,9.82,18.92,12.57,11.11,10.76,12.21,14.89,17.76,20.62,21.29,20.88,20.91,23.08,26.01,19.43,18.14,17.4,22.07,24.85,24.75,25.43
1,Івано-Франківська,Ковбасні вироби,,73.94,75.15,76.1,75.81,75.6,76.13,75.8,76.04,76.83,77.22,78.51,81.03,81.74,82.45,82.88,82.64,82.64,81.44,82.72,82.8,83.26,82.36,84.12,84.4,81.1,81.69,82.28,85.34,85.34,87.34,85.26,88.08,88.08,88.98,93.5,96.06,101.76,109.77,113.82,117.85,115.63,118.45,123.44,125.58,128.15,129.63,135.35,140.78,153.14,158.55,160.24,164.02,167.81,165.31,160.8,158.66,156.01,152.32,156.94,158.14,162.13,162.13,162.08,171.19,170.6,170.01,168.8,161.39,169.26,166.74,160.19,164.14,162.22,169.14,169.9,171.58,169.14,169.14
2,Івано-Франківська,Крупи,,18.87,19.32,19.6,19.96,20.1,20.44,20.26,20.01,20.81,21.38,21.36,20.96,20.23,19.5,19.43,19.92,20.84,20.91,20.62,20.34,20.06,19.88,20.37,20.65,21.12,21.24,21.36,22.17,22.75,23.13,23.37,23.12,23.42,23.06,23.51,24.06,24.62,25.47,25.52,25.57,26.19,27.31,31.33,38.02,42.62,45.96,45.87,44.12,42.71,41.65,41.08,40.2,39.32,39.03,38.51,37.71,37.0,34.89,34.59,35.78,33.51,32.17,30.27,28.89,28.91,28.92,29.46,29.14,29.23,29.04,29.19,29.87,30.21,30.82,31.63,32.55,33.19,33.27
3,Івано-Франківська,Мʼясо свійських тварин та птиці,,101.58,100.76,100.32,101.37,103.01,103.38,104.44,105.46,105.96,105.54,103.81,103.64,102.78,101.91,99.02,98.34,98.94,94.97,95.92,97.17,98.27,96.93,99.2,99.36,99.41,99.49,99.57,103.67,107.99,110.43,112.04,112.15,112.4,114.18,115.26,116.43,117.75,119.1,121.28,123.47,127.69,130.93,132.69,135.18,138.76,139.35,141.7,146.94,151.35,149.28,149.74,150.4,151.06,150.5,153.21,157.42,158.42,162.19,163.16,167.01,172.08,173.06,170.86,172.95,172.92,172.88,171.75,171.91,173.72,173.44,172.84,172.9,176.37,176.98,181.99,184.68,185.49,185.93
4,Івано-Франківська,Макарони,,17.8,17.95,18.08,18.23,18.38,18.6,18.69,18.69,18.52,18.62,18.01,18.1,17.72,17.33,17.57,17.6,17.97,18.18,18.42,18.29,18.42,18.36,19.05,19.49,20.02,20.15,20.28,21.25,21.63,22.02,22.23,22.25,22.38,22.24,21.68,22.08,22.85,23.46,22.71,21.96,23.2,23.38,25.86,28.5,31.45,32.32,32.05,32.7,30.62,30.43,30.57,30.83,31.09,31.04,30.63,30.43,29.04,29.13,29.13,28.59,28.54,28.47,28.36,28.26,28.08,27.89,26.73,27.31,27.67,27.39,26.7,27.39,30.06,29.73,29.86,30.68,31.44,31.9
5,Івано-Франківська,"Молоко пастеризоване жирністю до 2,6% включно",,23.94,24.34,24.22,24.21,24.3,24.75,24.91,24.92,24.62,25.22,25.37,25.89,25.68,25.48,26.13,26.4,26.12,26.22,25.81,26.12,26.29,25.85,24.62,24.5,24.54,24.67,24.81,24.63,24.78,24.77,25.3,26.18,24.59,24.85,25.13,26.95,27.45,28.43,28.74,29.06,30.2,30.35,33.67,32.52,32.35,32.01,32.17,32.76,33.6,34.94,36.04,35.51,34.98,35.45,36.38,37.25,35.81,36.64,36.78,37.43,37.44,37.24,38.65,37.61,38.72,39.84,40.76,41.26,40.5,40.96,40.96,39.56,40.32,41.49,42.16,42.3,43.84,45.21
6,Івано-Франківська,Молочні продукти,,48.97,49.38,49.94,50.57,50.36,49.96,50.14,50.54,50.8,51.86,52.41,52.61,51.7,50.78,50.62,51.44,51.37,52.36,53.52,52.56,52.64,53.34,52.76,52.12,53.76,54.22,54.68,55.3,55.35,55.2,56.63,56.33,57.72,57.55,58.64,59.97,61.34,60.57,60.7,60.86,63.27,65.88,67.62,67.92,67.92,68.31,71.04,73.0,75.32,78.04,80.18,80.84,81.51,80.86,80.0,80.92,80.96,79.16,81.52,84.21,82.09,84.92,87.34,85.73,86.99,88.25,91.15,91.34,93.03,93.17,91.99,93.1,93.54,96.03,102.78,104.36,107.66,108.74
7,Івано-Франківська,Овочі,,14.04,15.08,15.62,18.45,22.16,18.37,13.72,10.26,9.28,8.43,7.89,7.49,7.55,7.61,7.37,8.26,9.35,9.58,9.64,8.73,7.76,6.96,6.02,5.51,5.38,5.58,5.77,6.5,7.08,7.16,8.7,11.18,12.85,9.12,8.35,8.41,9.54,12.19,13.66,15.14,16.98,19.4,21.21,22.69,29.99,31.19,26.38,21.52,20.12,18.89,18.87,19.43,20.0,23.66,30.53,32.3,38.89,42.02,32.8,15.74,10.92,10.05,10.3,12.44,14.02,15.6,15.86,14.93,14.38,18.72,21.66,17.43,19.07,19.08,20.69,22.68,24.08,26.45
8,Івано-Франківська,Олія соняшникова,,35.03,34.89,34.25,34.7,34.7,35.07,34.86,35.67,35.23,34.31,34.77,34.14,34.23,34.32,32.98,33.45,33.18,33.52,33.54,34.74,35.28,36.21,37.51,39.23,41.14,41.82,42.49,45.79,51.74,58.88,63.84,69.66,67.54,67.85,69.74,66.12,65.97,66.67,65.86,65.05,63.57,67.27,67.15,64.85,67.98,69.29,69.99,69.58,68.26,67.77,67.77,67.55,67.33,67.83,67.96,67.57,66.99,65.79,66.58,66.04,63.01,63.98,59.93,59.02,57.25,55.48,57.05,54.67,55.53,56.84,60.06,61.51,60.89,62.67,63.69,66.53,70.66,73.19
9,Івано-Франківська,Риба,,77.02,78.54,79.17,78.61,79.35,81.03,81.86,82.29,82.56,83.17,82.97,82.74,81.02,79.29,81.13,79.27,78.88,80.23,81.18,82.34,82.63,81.57,78.84,81.84,84.34,86.2,88.06,93.56,94.67,89.76,91.74,91.97,86.93,88.65,89.79,89.76,88.38,93.07,98.57,104.08,108.2,111.11,121.35,131.64,137.66,145.68,139.62,146.98,160.87,168.48,168.48,171.66,174.84,180.63,175.23,182.09,175.27,173.9,169.74,167.67,163.58,165.34,160.84,158.77,158.57,158.38,158.9,162.06,169.26,170.66,170.1,172.94,176.29,174.78,181.54,176.86,179.07,179.34
10,Івано-Франківська,Сир,,93.57,98.08,99.52,99.95,94.11,93.51,93.25,90.13,92.95,97.48,95.38,95.81,100.24,104.67,106.76,102.16,102.16,103.02,105.85,107.25,106.65,107.01,108.16,110.75,112.32,115.98,119.65,119.15,118.96,121.27,119.31,126.43,129.39,128.4,130.43,136.09,132.55,133.52,132.42,131.32,133.43,140.34,155.11,153.31,156.3,157.17,159.02,156.11,158.07,164.74,163.42,165.04,166.65,170.27,174.7,165.06,167.91,162.29,167.91,167.93,170.88,166.1,181.97,183.93,186.48,189.04,187.02,188.75,188.18,192.03,182.78,178.71,183.92,189.19,190.15,197.34,207.03,210.58
11,Івано-Франківська,Хліб,,17.59,17.94,18.1,18.15,18.9,19.18,19.28,19.32,19.4,19.74,20.08,20.16,19.97,19.78,20.04,20.23,20.23,20.23,20.39,20.56,20.65,20.76,21.42,21.73,22.1,22.16,22.21,22.69,23.35,23.47,24.09,24.09,24.27,24.08,24.29,25.06,25.54,26.44,26.65,26.86,27.21,27.58,28.24,28.59,29.22,30.01,30.43,30.56,31.11,31.13,31.55,31.72,31.89,32.1,32.4,32.83,33.16,33.28,33.81,34.4,34.45,34.17,33.84,34.44,34.26,34.08,34.89,35.18,36.1,36.27,37.49,37.55,37.8,39.96,40.3,41.57,43.3,43.55
12,Івано-Франківська,Цукор,,13.53,13.51,13.51,13.61,13.81,14.46,15.24,14.99,14.73,14.18,13.84,13.8,13.44,13.09,13.14,13.63,14.48,13.88,14.07,14.07,14.19,14.15,17.13,19.16,20.47,20.88,21.28,23.35,24.22,24.99,25.41,25.71,27.34,28.54,28.57,27.5,27.49,26.9,26.62,26.35,25.76,26.07,25.65,26.86,30.39,30.73,32.54,33.9,34.22,34.22,34.26,34.25,34.24,34.06,34.11,34.11,34.09,34.42,35.16,34.96,37.11,36.21,34.98,33.52,32.3,31.07,30.24,29.58,28.71,28.69,29.92,33.4,33.57,33.6,32.18,31.86,32.14,32.11
