Дата,Хліб і хлібопродукти,Макаронні вироби,М'ясо та м'ясопродукти,Риба та продукти з риби,Молоко,Сир і м'який сир (творог),Яйця,Масло,Олія соняшникова,Фрукти,Овочі,Цукор,Безалкогольні напої
2019-01-01,100.9,100.6,100.3,100.8,101.6,101.3,99.5,101.1,100.4,104.7,116.6,100.3,100.6
2019-02-01,101.0,100.8,99.1,101.3,100.7,100.7,96.4,100.6,99.8,103.6,106.6,100.9,100.4
2019-03-01,100.9,100.9,100.0,100.7,99.4,100.5,95.0,100.5,99.7,101.7,102.4,100.2,100.1
2019-04-01,100.7,100.6,101.2,100.7,99.8,100.3,88.9,100.7,99.8,99.0,112.6,99.5,100.5
2019-05-01,100.8,100.2,101.7,100.7,98.2,99.7,84.7,100.1,100.0,111.9,101.0,101.2,100.6
2019-06-01,100.9,100.3,100.3,100.5,98.8,100.1,73.3,100.3,100.2,109.3,85.7,106.7,100.3
2019-07-01,100.4,100.7,100.7,100.7,99.7,99.9,115.2,99.9,99.8,101.0,86.4,102.9,100.3
2019-08-01,100.5,100.0,101.0,100.2,100.7,99.8,139.2,100.6,100.1,91.6,91.0,98.0,100.2
2019-09-01,101.1,100.0,100.6,101.0,101.7,101.2,93.7,101.4,100.3,102.4,94.9,99.0,100.4
2019-10-01,101.5,100.0,99.8,99.6,102.6,101.6,109.6,100.9,99.6,99.4,104.6,97.7,100.3
2019-11-01,100.3,100.0,99.0,99.3,102.4,101.4,102.4,100.7,99.7,95.6,101.5,97.5,99.2
2019-12-01,100.0,99.5,99.6,99.3,101.7,101.0,100.7,100.7,99.2,98.8,100.9,98.6,100.0
2020-01-01,100.4,100.1,99.8,99.7,100.4,100.4,98.5,99.9,99.7,100.0,106.6,98.9,100.4
2020-02-01,100.3,99.7,98.7,100.1,100.3,100.1,82.4,99.9,99.8,102.2,100.8,100.9,100.0
2020-03-01,101.1,101.5,99.7,100.2,99.4,99.8,87.7,100.8,100.0,103.9,101.7,102.9,99.6
2020-04-01,102.3,101.9,100.9,101.1,100.0,100.1,109.4,100.0,100.3,112.8,104.3,104.8,100.4
2020-05-01,100.7,100.1,98.4,101.1,99.8,100.6,116.6,99.0,99.3,115.8,100.8,99.2,100.6
2020-06-01,100.2,100.3,100.3,100.3,98.7,99.7,100.3,100.7,100.5,108.4,95.3,98.7,100.2
2020-07-01,100.2,99.9,100.2,100.2,99.3,100.0,84.9,100.1,100.0,101.0,85.0,98.9,100.7
2020-08-01,99.9,99.4,101.0,100.0,100.1,100.1,103.4,100.2,100.9,91.6,86.5,99.4,99.1
2020-09-01,100.2,100.3,100.5,100.5,100.5,100.4,107.3,100.0,101.4,91.1,93.0,101.6,100.8
2020-10-01,100.8,101.0,100.8,99.7,101.4,100.8,122.7,100.4,107.3,93.8,99.1,122.9,100.1
2020-11-01,102.0,100.9,100.2,100.5,102.1,101.1,106.4,101.1,106.3,94.9,109.4,107.7,100.1
2020-12-01,101.2,101.2,100.3,100.3,101.9,100.8,116.1,101.0,104.7,100.1,108.3,106.0,100.0
