Month,Salary
2017-M01,5378.61
2017-M02,5590.26
2017-M03,5887.7
2017-M04,5843.43
2017-M05,6173.33
2017-M06,7032.28
2017-M07,6174.07
2017-M08,6028.81
2017-M09,6454.14
2017-M10,6522.77
2017-M11,6598.71
2017-M12,7601.89
2018-M01,6930.69
2018-M02,7103.74
2018-M03,7382.0
2018-M04,7434.64
2018-M05,7769.16
2018-M06,8727.05
2018-M07,7621.5
2018-M08,7601.55
2018-M09,7870.29
2018-M10,8001.93
2018-M11,8137.84
2018-M12,9095.46
2019-M01,8186.94
2019-M02,8328.77
2019-M03,8814.84
2019-M04,8664.25
2019-M05,9081.68
2019-M06,10259.64
2019-M07,9308.13
2019-M08,8909.32
2019-M09,9322.61
2019-M10,9556.37
2019-M11,9476.84
2019-M12,10583.1
2020-M01,9581.38
2020-M02,9658.03
2020-M03,9905.39
2020-M04,9325.93
2020-M05,9546.32
2020-M06,11197.38
2020-M07,9837.35
2020-M08,9608.67
2020-M09,10570.56
2020-M10,10887.46
2020-M11,10634.72
2020-M12,13320.55
2021-M01,11522.64
2021-M02,11762.28
2021-M03,12349.97
2021-M04,12561.59
2021-M05,12660.61
2021-M06,14185.04
2021-M07,12911.88
2021-M08,12397.62
2021-M09,13095.82
2021-M10,13235.32
2021-M11,13378.29
2021-M12,15700.65
2022-M01,14055.38
2022-M02,14133.18
2022-M03,13016.16
2022-M04,12081.96
2022-M05,12528.42
2022-M06,13957.63
2022-M07,13499.87
2022-M08,12745.82
2022-M09,13387.48
2022-M10,12949.01
2022-M11,13020.61
2022-M12,15116.4
2023-M01,12644.98
2023-M02,12794.11
2023-M03,13423.28
2023-M04,13626.02
2023-M05,14109.64
2023-M06,16012.38
2023-M07,13996.68
2023-M08,13778.13
2023-M09,14518.38
2023-M10,14882.88
2023-M11,14983.0
2023-M12,16836.84
2024-M01,14974.56
2024-M02,15267.6
2024-M03,15433.98
2024-M04,16847.98
2024-M05,17178.87
2024-M06,18806.63
2024-M07,17346.9
2024-M08,17001.36
2024-M09,18020.86
2024-M10,18704.98
2024-M11,18823.31
2024-M12,21698.99
