,Місяць,Картопля,Ковбасні вироби,Крупи,Мʼясо свійських тварин та птиці,Макарони,Молоко,Молочні продукти,Овочі,Олія соняшникова,Риба,Сир,Хліб,Цукор,Яблука,Яйця,basket_price
0,2019-01-01,,,,,,0.17,-0.03,1.65,,,,0.99,,,,
1,2019-02-01,0.76,0.33,0.44,-1.4,0.21,0.39,0.23,1.72,-0.02,1.18,0.86,0.97,0.11,-0.04,-0.87,10.38
2,2019-03-01,0.07,-0.17,0.4,-0.4,0.18,0.39,0.38,1.75,0.21,1.09,0.48,0.91,0.03,0.05,-1.2,3.15
3,2019-04-01,0.57,0.2,0.85,1.62,0.19,0.48,0.71,2.21,-0.04,0.59,0.71,0.85,-0.08,0.01,-2.5,26.41
4,2019-05-01,3.34,-1.15,0.35,1.74,0.06,0.35,0.62,2.6,0.08,0.51,-0.9,0.91,0.17,1.63,-3.2,43.1
5,2019-06-01,3.19,-0.06,0.19,0.06,0.02,0.18,0.3,1.93,0.23,0.47,-0.56,1.13,0.92,3.79,-4.53,10.22
6,2019-07-01,-1.96,0.26,-0.07,1.03,0.04,0.18,0.18,1.35,0.5,0.48,0.31,1.04,0.43,2.01,1.88,-17.4
7,2019-08-01,-0.28,0.5,-0.1,0.94,-0.07,0.3,-0.06,1.0,0.48,0.29,-0.1,0.78,-0.3,0.4,5.54,3.62
8,2019-09-01,-0.39,0.36,0.18,0.4,0.05,0.51,0.71,0.87,0.49,0.46,1.89,0.5,-0.09,-0.35,-1.19,-1.67
9,2019-10-01,0.66,0.23,0.4,-0.21,0.0,0.83,1.06,0.83,-0.23,-0.15,1.67,0.29,-0.36,-0.47,1.75,12.83
10,2019-11-01,-1.15,0.71,-0.19,-2.01,-0.15,0.8,1.22,0.77,-0.3,-0.49,1.53,0.21,-0.36,-0.24,0.48,-14.01
11,2019-12-01,-0.62,1.16,-0.47,-0.83,0.17,0.79,1.64,0.72,0.12,-0.51,1.0,0.02,-0.19,0.08,0.14,-6.93
12,2020-01-01,-0.39,-0.18,-0.5,-0.41,-0.22,0.27,0.96,0.7,-0.75,-0.33,1.16,-0.18,-0.28,0.28,-0.41,-10.05
13,2020-02-01,-0.33,0.76,-0.12,-2.28,0.06,0.23,0.61,0.69,-0.22,0.21,0.4,-0.4,0.12,0.17,-3.59,-14.29
14,2020-03-01,0.09,-0.21,0.47,-0.35,0.3,0.11,0.62,0.73,-0.77,0.18,0.12,-0.59,0.41,0.51,-2.09,1.55
